CID;LAC;NET;RXL;TYPE;LAT;LON;SPEED;DATE;TIME;N1CID;N1LAC;N1RXL;N2CID;N2LAC;N2RXL;N3CID;N3LAC;N3RXL;N4CID;N4LAC;N4RXL;N5CID;N5LAC;N5RXL;N6CID;N6LAC;N6RXL
5874;4722;46692;-97;EDGE;23.95890;120.61355;276 km/h;2012/03/16;22:44:25;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
5874;4722;46692;-97;EDGE;23.95821;120.61357;275 km/h;2012/03/16;22:44:26;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-97;GPRS;23.95754;120.61361;275 km/h;2012/03/16;22:44:27;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-97;GPRS;23.95683;120.61365;275 km/h;2012/03/16;22:44:28;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-99;GPRS;23.95614;120.61368;275 km/h;2012/03/16;22:44:29;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-99;GPRS;23.95545;120.61372;275 km/h;2012/03/16;22:44:30;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-99;GPRS;23.95480;120.61379;275 km/h;2012/03/16;22:44:31;54816;0;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-103;GPRS;23.95414;120.61388;273 km/h;2012/03/16;22:44:32;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-103;GPRS;23.95344;120.61399;275 km/h;2012/03/16;22:44:33;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-103;GPRS;23.95276;120.61403;275 km/h;2012/03/16;22:44:34;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-103;GPRS;23.95210;120.61407;275 km/h;2012/03/16;22:44:35;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-103;GPRS;23.95141;120.61412;275 km/h;2012/03/16;22:44:36;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
54816;4722;46692;-103;GPRS;23.95071;120.61420;276 km/h;2012/03/16;22:44:37;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
