CID;LAC;NET;RXL;TYPE;LAT;LON;SPEED;DATE;TIME;N1CID;N1LAC;N1RXL;N2CID;N2LAC;N2RXL;N3CID;N3LAC;N3RXL;N4CID;N4LAC;N4RXL;N5CID;N5LAC;N5RXL;N6CID;N6LAC;N6RXL
34330;10473;46692;-91;UMTS;24.10383;120.61544;85 km/h;2012/03/16;22:39:42;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
34330;10473;46692;-91;UMTS;24.10374;120.61530;87 km/h;2012/03/16;22:39:43;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
34301;10473;46692;-87;UMTS;24.10353;120.61525;87 km/h;2012/03/16;22:39:44;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
34301;10473;46692;-87;UMTS;24.10332;120.61521;87 km/h;2012/03/16;22:39:45;-1;-1;-80;-1;-1;-84;-1;-1;-84;-1;-1;-85;-1;-1;-90;-1;-1;-91
34301;10473;46692;-87;UMTS;24.10310;120.61518;87 km/h;2012/03/16;22:39:46;-1;-1;-76;-1;-1;-81;-1;-1;-83;-1;-1;-87;-1;-1;-88;-1;-1;-90
34301;10473;46692;-87;UMTS;24.10288;120.61516;88 km/h;2012/03/16;22:39:47;-1;-1;-74;-1;-1;-82;-1;-1;-84;-1;-1;-84;-1;-1;-85;-1;-1;-88
24347;10473;46692;-87;UMTS;24.10267;120.61511;89 km/h;2012/03/16;22:39:48;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-87;UMTS;24.10242;120.61507;90 km/h;2012/03/16;22:39:49;-1;-1;-86;-1;-1;-88;-1;-1;-94;-1;-1;-101;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-83;UMTS;24.10219;120.61505;91 km/h;2012/03/16;22:39:50;-1;-1;-88;-1;-1;-89;-1;-1;-91;-1;-1;-93;-1;-1;-99;-1;-1;-99
24347;10473;46692;-83;UMTS;24.10197;120.61500;93 km/h;2012/03/16;22:39:51;-1;-1;-87;-1;-1;-90;-1;-1;-90;-1;-1;-91;-1;-1;-97;-1;-1;-97
24347;10473;46692;-83;HSDPA;24.10174;120.61496;94 km/h;2012/03/16;22:39:52;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-81;HSDPA;24.10151;120.61492;95 km/h;2012/03/16;22:39:53;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-81;HSDPA;24.10124;120.61489;97 km/h;2012/03/16;22:39:54;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-81;HSDPA;24.10101;120.61487;96 km/h;2012/03/16;22:39:55;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-83;HSDPA;24.10077;120.61485;97 km/h;2012/03/16;22:39:56;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-83;HSDPA;24.10049;120.61482;101 km/h;2012/03/16;22:39:57;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-83;HSDPA;24.10024;120.61479;100 km/h;2012/03/16;22:39:58;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
24347;10473;46692;-83;HSDPA;24.10000;120.61476;100 km/h;2012/03/16;22:39:59;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
