CID;LAC;NET;RXL;TYPE;LAT;LON;SPEED;DATE;TIME;N1CID;N1LAC;N1RXL;N2CID;N2LAC;N2RXL;N3CID;N3LAC;N3RXL;N4CID;N4LAC;N4RXL;N5CID;N5LAC;N5RXL;N6CID;N6LAC;N6RXL
57269;10704;46692;-69;HSDPA;22.64057;120.31262;9 km/h;2012/03/17;23:12:47;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64056;120.31257;14 km/h;2012/03/17;23:12:48;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64061;120.31246;19 km/h;2012/03/17;23:12:49;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64064;120.31238;22 km/h;2012/03/17;23:12:50;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64065;120.31229;25 km/h;2012/03/17;23:12:51;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64065;120.31218;29 km/h;2012/03/17;23:12:52;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64062;120.31206;32 km/h;2012/03/17;23:12:53;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64062;120.31194;35 km/h;2012/03/17;23:12:54;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64062;120.31182;38 km/h;2012/03/17;23:12:55;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64064;120.31171;40 km/h;2012/03/17;23:12:56;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64066;120.31157;41 km/h;2012/03/17;23:12:57;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64068;120.31146;43 km/h;2012/03/17;23:12:58;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64072;120.31133;44 km/h;2012/03/17;23:12:59;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64074;120.31120;45 km/h;2012/03/17;23:13:00;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64072;120.31109;46 km/h;2012/03/17;23:13:01;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64072;120.31096;45 km/h;2012/03/17;23:13:02;-1;-1;-70;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64073;120.31084;45 km/h;2012/03/17;23:13:03;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64075;120.31071;47 km/h;2012/03/17;23:13:04;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64075;120.31058;48 km/h;2012/03/17;23:13:05;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64076;120.31046;47 km/h;2012/03/17;23:13:06;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64077;120.31034;46 km/h;2012/03/17;23:13:07;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64078;120.31021;46 km/h;2012/03/17;23:13:08;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64079;120.31010;45 km/h;2012/03/17;23:13:09;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64080;120.30997;45 km/h;2012/03/17;23:13:10;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64082;120.30983;46 km/h;2012/03/17;23:13:11;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64082;120.30972;46 km/h;2012/03/17;23:13:12;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64083;120.30957;48 km/h;2012/03/17;23:13:13;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64083;120.30946;46 km/h;2012/03/17;23:13:14;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64083;120.30934;46 km/h;2012/03/17;23:13:15;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-69;HSDPA;22.64082;120.30922;46 km/h;2012/03/17;23:13:16;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64083;120.30912;45 km/h;2012/03/17;23:13:17;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64086;120.30899;46 km/h;2012/03/17;23:13:18;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
57269;10704;46692;-71;HSDPA;22.64088;120.30887;47 km/h;2012/03/17;23:13:19;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115;n/a;n/a;-115
